question,choose_expected,proposed_answer,confidence,notes,question_text
1,1,D,0.99,"target=1; raw_tokens={'D': 9, 'E': 4, 'A': 1, 'BE': 3}; marks={'D': 1, 'A': 1}; uncertain=False","Universal Containers (UC) has decided to replace the homegrown customer portal with Salesforce Experience Cloud. UC will continue to use its third-party single sign-on (SSO) solution that stores all of its customer and partner credentials. The first time a customer logs in to the Experience Cloud site through SSO, a user record needs to be created automatically. Which solution should an identity architect recommend in order to automatically provision users in Salesforce upon login?"
2,2,AD,0.99,"target=2; raw_tokens={'D': 77, 'AD': 1}; marks={'C': 1}; uncertain=True","Universal Containers (UC) is considering a Customer 360 initiative to gain a single source of the truth for its customer data across disparate systems and services. UC wants to understand the primary benefits of Customer 360 Identity and how It contributes to a successful Customer 360 Truth project. What are two are key benefits of Customer 360 Identity as it relates to Customer 360? Customer 3 Ider ete + -- 60 1 .,)Itity enables an organization to build a single login for each of its « ace™ers, giving the organization an understanding of the user's login tivity across all its digital properties and applications. tgey"
3,1,A,0.52,target=1; raw_tokens={'AC': 1}; marks={'D': 1}; uncertain=True,"Universal Containers is designing an identity architecture that involves integrating Salesforce with an external directory service. The external directory service will act as the central repository for user authentication and authorization across multiple systems within the organization. Which approach should be evaluated to establish trust between Salesforce and the external directory service? AO Utilizing email-based verification for user authentication across the systems. BO Using a shared database table to synchronize user credentials between the two systems. €.© Enforcing IP-based access restrictions for Salesforce and the external directory service. ©) Implementing a federated identity solution based on SAML (Security Assertion Markup Language). Press the ""Prnt Scrn” on vour kevboard to take a"
4,1,D,0.60,target=1; raw_tokens={'D': 1}; marks={'B': 1}; uncertain=False,"An insurance company has a connected app in its Salesforce environment that is used to integrate with a Google Workspace (formerly known as G Suite). An identity and access management (IAM) architect has been asked to implement automation to enable users, freeze/suspend users, disable users, and reactivate existing users in Google Workspace upon similar actions in | Which solution is recommended to meet this requirement?"
5,2,AD,0.60,target=2; raw_tokens={'AD': 1}; marks={'DE': 1}; uncertain=False,"Universal Containers (UC) currently uses Salesforce Sales Cloud and an external billing application. Both Salesforce and the billing application are accessed several times a day to manage customers, UC would like to configure single sign-on and leverage Salesforce as the identity provider. Additionally, UC would like the billing application to be accessible from Salesforce. A redirect is acceptable. Which two Salesforce tools should an identity architect recommend to satisfy the requirements?"
6,2,AD,0.80,"target=2; raw_tokens={'D': 2, 'AC': 1, 'A': 1}; marks={'D': 1}; uncertain=True","Northern Trail Outfitters (NTO) leverages Microsoft Active Directory (AD) for management of employee usernames, passwords, permissions, and asset access. NTO also owns a third-party single sign-on (SSO) solution. The third-party party SSO solution is used for all corporate applications, including Salesforce. NTO has asked an architect to explore Salesforce Identity Connect for automatic provisioning and deprovisioning of users in Salesforce. What role does identity Connect play in the outlined requirements?"
7,1,A,0.60,target=1; raw_tokens={'A': 1}; marks={}; uncertain=False,"Northern Trail Outfitters (NTO) is planning to build a new customer service portal and wants to use passwordless login, allowing customers to login with a one-time passcode sent to them via email or SMS. How should the quantity of required Identity Verification Credits be estimated?"
8,1,D,0.80,"target=1; raw_tokens={'BE': 2, 'D': 2, 'B': 1}; marks={'BD': 1}; uncertain=False","Northern Trail Outfitters manages application functional permissions centrally as Active Directory groups. The CRM_SuperUser and CRM_Reporting_SuperUser groups should respectively give the user the SuperUser and Reporting_SuperUser permission set in Salesforce, Salesforce is the service provider to a Security Assertion Markup Language (SAML) identity provider, How should an identity architect ensure the Active Directory groups are reflected correctly when a user accesses Salesforce?"
9,1,A,0.75,target=1; raw_tokens={}; marks={}; uncertain=True | MANUAL_OVERRIDE: Login Flows is the least-customization approach for pre-homepage alerts,An identity architect has been asked to recommend a solution that allows administrators to configure personalized alert messages to users before they land on the Experience Cloud site (formerly known as Community) homepage. What is recommended to fulfill this requirement with the least amount of customization? © Use Login Flows to add a screen that shows personalized alerts.
10,1,D,0.99,"target=1; raw_tokens={'D': 8, 'C': 1, 'CD': 1}; marks={}; uncertain=False",An Identity and Access Management (IAM) architect is tasked with unifying multiple B2C Commerce sites and an Experience Cloud community What should the IAM Architect do to fulfill this requirement? 8. © Configure community as a Security Assertion Markup Language (SAML) identity provider and enable Just-in-Time Provisioning to B2C Commerce.
